Episode,Reward
201,-5322.422377
202,-1583.6236
203,-805.364895
204,-3157.677761
205,-3769.150722
206,-4811.696217
207,-2931.884037
208,-5521.95885
209,-5455.517517
210,-2128.492769
211,-2377.466927
212,-3754.066281
213,-3887.461997
214,-3049.119201
215,-2407.942577
216,-983.166815
217,-1996.600242
218,-2325.224317
219,-2227.23331
220,-1323.073302
221,-4433.944866
222,-1110.353335
223,-542.29765
224,-2396.623632
225,-748.051641
226,-3398.94292
227,-468.119673
228,-3030.140781
229,-3857.210572
230,-1991.977909
231,-6377.16484
232,-3550.767789
233,-3430.698447
234,-5926.060978
235,-2651.735412
236,-4229.094793
237,-4434.25617
238,-3696.574604
239,-3392.37752
240,-3310.45235
241,-2384.350845
242,-1322.045416
243,-3217.844718
244,-2284.644277
245,-5492.703656
246,-3294.078467
247,-2748.937828
248,-2688.294636
249,-968.978867
250,-3246.171046
251,-1672.075916
252,-4187.329171
253,-4544.281467
254,-774.274148
255,-3469.660954
256,-5274.836413
257,-3132.262605
258,-6653.518549
259,-2525.448608
260,-1067.336713
261,-2540.09749
262,-4828.202776
263,-2435.814967
264,-3339.165465
265,-1793.408157
266,-2652.040782
267,-5662.438552
268,-4294.716214
269,-3615.584906
270,-3713.508984
271,-5206.376809
272,-8725.487209
273,-3698.44969
274,-6362.998936
275,-615.561404
276,-1828.950778
277,-2346.411753
278,-6094.920272
279,-4679.136356
280,-2207.111567
281,-3932.602494
282,-519.884479
283,-2594.207298
284,-1053.37664
285,-6066.753353
286,-5205.462403
287,-2080.425836
288,-3037.727298
289,-3580.066706
290,-991.71952
291,-1703.361373
292,-1542.031822
293,-1880.406624
294,-2734.620874
295,-1884.62058
296,-2706.810066
297,-1032.303401
298,-3444.047969
299,-2724.591171
300,-2693.699757
301,-5075.526973
302,-4989.513223
303,-1911.133132
304,-3226.39164
305,-4753.721376
306,-2247.777597
307,-3818.77636
308,-13395.588079
309,-1072.16122
310,-4277.537996
311,-2615.086049
312,-7883.750841
313,-3668.450884
314,-2502.264049
315,-911.633965
316,-2996.145481
317,-3532.501214
318,-7940.043768
319,-1242.365033
320,-3587.661782
321,-4379.373512
322,-1838.715075
323,-2218.064995
324,-1629.502132
325,-2920.181383
326,-1166.92838
327,-1339.801058
328,-2299.673517
329,-3969.200876
330,-2072.936238
331,-7813.489344
332,-4006.60668
333,-3409.183792
334,-833.60469
335,-1490.664151
336,-3531.926923
337,-2947.375618
338,-4931.74689
339,-3910.450459
340,-823.248646
341,-6488.172946
342,-4294.694166
343,-3753.716224
344,-2803.609814
345,-2938.880652
346,-4166.13928
347,-1363.719429
348,-1476.329144
349,-5875.663101
350,-2720.945021
351,-616.472333
352,-3902.170272
353,-1192.018764
354,-2869.424215
355,-1118.006149
356,-5810.738768
357,-8237.455299
358,-2221.062382
359,-668.760206
360,-1220.584246
361,-4708.187423
362,-2164.309696
363,-1870.409192
364,-3771.465672
365,-860.479773
366,-7880.559821
367,-3066.192561
368,-1137.763096
369,-7886.415069
370,-3339.133825
371,-2132.655478
372,-2819.304957
373,-2943.291142
374,-1351.238975
375,-1191.441707
376,-2786.725168
377,-1522.530589
378,-1850.580128
379,-4228.024371
380,-1072.205228
381,-3495.233916
382,-3214.513626
383,-2379.511635
384,-5313.452986
385,-3042.86818
386,-4678.714533
387,-2751.328699
388,-2679.314672
389,-1960.816444
390,-1950.610985
391,-1635.519794
392,-1850.446862
393,-677.705867
394,-2378.613098
395,-2254.819927
396,-1187.122073
397,-3399.445518
398,-2097.483147
399,-3921.518571
400,-3688.534253
401,-3037.713759
402,-557.638048
403,-2118.885793
404,-1980.055371
405,-2034.454915
406,-3135.999799
407,-3901.173059
408,-2269.086632
409,-2565.707426
410,-3039.612384
411,-2029.062033
412,-5256.486233
413,-3409.558298
414,-7166.125881
415,-2451.973258
416,-1273.488542
417,-2555.104772
418,-2071.93092
419,-1949.924166
420,-2487.366413
421,-1592.368309
422,-1437.645337
423,-3747.545561
424,-4462.061003
425,-2625.000515
426,-3970.047259
427,-4401.974882
428,-2046.835643
429,-1250.713581
430,-3707.792504
431,-3148.265911
432,-1554.852212
433,-3043.409319
434,-2517.57043
435,-2075.644729
436,-3751.046893
437,-1553.266256
438,-5539.072145
439,-2233.284545
440,-2175.402719
441,-1638.953042
442,-2236.989747
443,-1490.965715
444,-2422.320303
445,-3605.384534
446,-1271.25505
447,-1362.710563
448,-2695.649096
449,-398.597282
450,-1796.923894
451,-3446.231411
452,-1193.036807
453,-2500.68443
454,-2781.783569
455,-1812.16961
456,-3919.189729
457,-1651.506851
458,-1703.36167
459,-2379.692641
460,-1484.071966
461,-2107.62898
462,-5871.380482
463,-1320.20319
464,-1203.808618
465,-3877.166322
466,-3582.669807
467,-1754.842703
468,-1727.997966
469,-3008.504678
470,-2246.211597
471,-12614.950961
472,-1419.25866
473,-1554.4168
474,-7789.623944
475,-4361.053393
476,-1697.390133
477,-2092.829235
478,-2269.996196
479,-2734.771374
480,-3433.655677
481,-3545.261699
482,-1607.436405
483,-3093.946041
484,-1567.124891
485,-1240.911604
486,-2459.849568
487,-356.928611
488,-2762.925974
489,-1375.46372
490,-2092.02201
491,-2044.386425
492,-1559.287053
493,-3626.470527
494,-3850.159359
495,-1334.630329
496,-2601.296689
497,-4606.097292
498,-842.727321
499,-930.485666
500,-5725.868512
